image_id,baseline_run_number,extraction_run_number,caption,model,temperature,timestamp_utc,generation_time_seconds,attempts,status
test_001,3,1,A tan dog runs through a grassy field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:25:21.464935+00:00,28.62,2,success
test_001,3,2,A tan dog runs through a grassy field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:25:51.001395+00:00,29.528,2,success
test_001,3,3,A tan dog runs through a grassy field dotted with yellow flowers.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:26:15.115203+00:00,24.098,1,success
test_002,1,1,"A rustic log cabin sits on a calm lake, its reflection mirrored in the water with majestic snow-capped mountains rising in the background under a soft, golden sky.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:45:08.294129+00:00,208.83,1,success
test_002,1,2,"A rustic log cabin sits on a calm lake, its reflection mirrored in the water with majestic snow-capped mountains rising in the background under a soft, golden sky.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:45:41.117159+00:00,32.815,1,success
test_002,1,3,"A rustic log cabin sits on a calm lake, its reflection mirrored in the water with majestic snow-capped mountains rising in the background under a soft, golden sky.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T06:46:37.237321+00:00,56.098,1,success
test_003,3,1,"A man with glasses and a beard, wearing a white shirt, is focused on typing on a laptop at a desk illuminated by a warm desk lamp.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:28:58.578577+00:00,55.262,2,success
test_003,3,2,"A man with glasses and a beard, wearing a white shirt, is focused on typing on a laptop at a desk illuminated by a warm desk lamp.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:29:56.117272+00:00,57.453,1,success
test_003,3,3,"A man with glasses and a beard, wearing a white shirt, is focused on typing on a laptop at a desk illuminated by a warm desk lamp.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:31:05.957248+00:00,69.793,2,success
test_004,3,1,A woman wearing a brown tank top and blue jeans walks a white dog on a red leash through a grassy park area with trees in the background.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:32:01.458998+00:00,55.442,2,success
test_004,3,2,A woman wearing a brown tank top and blue jeans walks a white dog on a red leash through a grassy park area with trees in the background.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:33:11.195923+00:00,69.681,3,success
test_004,3,3,A woman wearing a brown tank top and blue jeans walks a white dog on a red leash through a grassy park area with trees in the background.,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:34:22.467281+00:00,71.225,2,success
test_005,3,1,"A teacher sits on the floor with a group of young children in a classroom, guiding them as they play with wooden toys and engage in educational activities.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:35:25.244914+00:00,62.72,2,success
test_005,3,2,"A teacher sits on the floor with a group of young children in a classroom, guiding them as they play with wooden toys and engage in educational activities.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:36:26.618310+00:00,61.31,1,success
test_005,3,3,"A teacher sits on the floor with a group of young children in a classroom, guiding them as they play with wooden toys and engage in educational activities.",nvidia/nemotron-3-ultra-550b-a55b:free,0.0,2026-09-04T17:37:00.814700+00:00,34.149,1,success
