stage,temperature,image_id,metric,value
baseline,0.7,test_001,exact_match_rate,0.2
baseline,0.7,test_001,unique_output_ratio,0.9
baseline,0.7,test_001,mean_pairwise_semantic_similarity,0.9053
baseline,0.7,test_002,exact_match_rate,0.1
baseline,0.7,test_002,unique_output_ratio,1.0
baseline,0.7,test_002,mean_pairwise_semantic_similarity,0.8244
baseline,0.7,test_003,exact_match_rate,0.1
baseline,0.7,test_003,unique_output_ratio,1.0
baseline,0.7,test_003,mean_pairwise_semantic_similarity,0.8749
baseline,0.7,test_004,exact_match_rate,0.3
baseline,0.7,test_004,unique_output_ratio,0.8
baseline,0.7,test_004,mean_pairwise_semantic_similarity,0.9085
baseline,0.7,test_005,exact_match_rate,0.1
baseline,0.7,test_005,unique_output_ratio,1.0
baseline,0.7,test_005,mean_pairwise_semantic_similarity,0.8563
baseline,0.0,test_001,exact_match_rate,0.3
baseline,0.0,test_001,unique_output_ratio,0.5
baseline,0.0,test_001,mean_pairwise_semantic_similarity,0.9259
baseline,0.0,test_002,exact_match_rate,0.1
baseline,0.0,test_002,unique_output_ratio,1.0
baseline,0.0,test_002,mean_pairwise_semantic_similarity,0.873
baseline,0.0,test_003,exact_match_rate,0.2
baseline,0.0,test_003,unique_output_ratio,0.9
baseline,0.0,test_003,mean_pairwise_semantic_similarity,0.9051
baseline,0.0,test_004,exact_match_rate,0.3
baseline,0.0,test_004,unique_output_ratio,0.7
baseline,0.0,test_004,mean_pairwise_semantic_similarity,0.927
baseline,0.0,test_005,exact_match_rate,0.1
baseline,0.0,test_005,unique_output_ratio,1.0
baseline,0.0,test_005,mean_pairwise_semantic_similarity,0.9421
semantic_alignment,,GLOBAL,entity_consistency,0.9778
semantic_alignment,,GLOBAL,attribute_consistency,0.9178
semantic_alignment,,GLOBAL,action_consistency,0.8889
semantic_alignment,,GLOBAL,relation_consistency,0.6689
semantic_alignment,,GLOBAL,scene_consistency,0.94
semantic_alignment,,GLOBAL,overall_consistency,0.8787
deterministic_renderer,,GLOBAL,reproducibility_rate,1.0
persistent_frozen_pipeline,,GLOBAL,reproducibility_rate,1.0
semantic_fidelity,,GLOBAL,mean_semantic_fidelity,0.872
semantic_fidelity,,test_001,semantic_similarity,0.9158
semantic_fidelity,,test_002,semantic_similarity,0.8922
semantic_fidelity,,test_003,semantic_similarity,0.8545
semantic_fidelity,,test_004,semantic_similarity,0.8987
semantic_fidelity,,test_005,semantic_similarity,0.799
informativeness,,GLOBAL,mean_information_coverage,0.7077
informativeness,,test_001,information_coverage,0.8333
informativeness,,test_001,semantic_fact_count,10
informativeness,,test_002,information_coverage,0.625
informativeness,,test_002,semantic_fact_count,15
informativeness,,test_003,information_coverage,0.6667
informativeness,,test_003,semantic_fact_count,8
informativeness,,test_004,information_coverage,0.5714
informativeness,,test_004,semantic_fact_count,12
informativeness,,test_005,information_coverage,0.8421
informativeness,,test_005,semantic_fact_count,16
