pair_id,image_id,entity_consistency,attribute_consistency,action_consistency,relation_consistency,scene_consistency,overall_consistency
test_001_3_1_2,test_001,1.0,1.0,1.0,1.0,0.9,0.98
test_001_3_1_3,test_001,1.0,1.0,1.0,0.5,0.9,0.88
test_001_3_2_3,test_001,1.0,1.0,1.0,0.5,0.85,0.87
test_002_1_1_2,test_002,1.0,1.0,1.0,0.25,0.95,0.84
test_002_1_1_3,test_002,0.8333,1.0,1.0,0.5,1.0,0.8667
test_002_1_2_3,test_002,0.8333,1.0,0.6667,0.25,0.9,0.73
test_003_3_1_2,test_003,1.0,1.0,1.0,0.6667,1.0,0.9333
test_003_3_1_3,test_003,1.0,0.8,1.0,1.0,1.0,0.96
test_003_3_2_3,test_003,1.0,0.8,1.0,0.6667,0.95,0.8833
test_004_3_1_2,test_004,1.0,0.8333,0.3333,0.6,0.95,0.7433
test_004_3_1_3,test_004,1.0,1.0,1.0,1.0,1.0,1.0
test_004_3_2_3,test_004,1.0,0.8333,0.3333,0.6,0.9,0.7333
test_005_3_1_2,test_005,1.0,0.75,1.0,0.75,0.9,0.88
test_005_3_1_3,test_005,1.0,1.0,1.0,1.0,0.9,0.98
test_005_3_2_3,test_005,1.0,0.75,1.0,0.75,1.0,0.9
